the_geom,Loc,Borough,Street,From_,To,Index,May07_D,May07_AM,May07_PM,May07_D2,May07_MD,Sept07_D,Sept07_AM,Sept07_PM,Sept07_D2,Sept07_MD,May08_D,May08_AM,May08_PM,May08_D2,May08_MD,Sept08_D,Sept08_AM,Sept08_PM,Sept08_D2,Sept08_MD,May09_D,May09_AM,May09_PM,May09_D2,May09_MD,Sept09_D,Sept09_AM,Sept09_PM,Sept09_D2,Sept09_MD,May10_D,May10_AM,May10_PM,May10_D2,May10_MD,Sept10_D,Sept10_AM,Sept10_PM,Sept10_D2,Sept10_MD,May11_D,May11_AM,May11_PM,May11_D2,May11_MD,Sept11_D,Sept11_AM,Sept11_PM,Sept11_D2,Sept11_MD,May12_D,May12_AM,May12_PM,May12_D2,May12_MD,Sept12_D,Sept12_AM,Sept12_PM,Sept12_D2,Sept12_MD,May13_D,May13_AM,May13_PM,May13_D2,May13_MD,Sept13_D,Sept13_AM,Sept13_PM,Sept13_D2,Sept13_MD,May14_D,May14_AM,May14_PM,May14_D2,May14_MD,Sept14_D,Sept14_AM,Sept14_PM,Sept14_D2,Sept14_MD,May15_D,May15_AM,May15_PM,May15_D2,May15_MD
POINT (-73.90459140730687 40.879198966485745),1,Bronx,Broadway,West 231st Street,Naples Terrace,N,5/10/2007,1189,4094,5/5/2007,2508,9/25/2007,734,2646,9/29/2007,2939,5/1/2008,802,4015,5/17/2008,2631,09/23/08,1125,4310,2010-04-08,3420,2005-05-09,1001,3475,2005-02-09,2832,2009-10-09,991,4262,09/26/09,2469,2005-06-10,1010,3609,2005-01-10,3128,2009-08-10,863,4119,2009-11-10,2217,2005-10-11,997,4440,04/30/11,2687,2009-08-11,1328,3820,2009-10-11,2428,2005-03-12,1288,3328,2006-02-12,3365,9/12/2012,1268,4315,09/15/2012,2276,2005-07-13,1210,4710,05/18/13,3825,2010-01-13,1206,4590,2010-05-13,3008,2005-08-14,1220,4384,05/17/2014 07:00:00 AM +0000,2641,2009-04-14,1450,4646,2009-06-14,2996,05/13/15,1788,4980,05/16/15,3033
POINT (-73.92188432870225 40.82662794123293),2,Bronx,East 161st Street,Grand Concourse,Sheridan Avenue,Y,5/10/2007,1511,3184,5/5/2007,1971,9/25/2007,1855,3754,9/29/2007,1183,5/6/2008,1136,2638,5/17/2008,1522,09/23/08,1939,3283,2010-04-08,1383,2005-05-09,1351,3111,2005-02-09,1304,2009-10-09,1227,3137,09/26/09,2762,2005-06-10,2077,3283,2005-01-10,1409,09/14/10,1007,3069,2009-11-10,1477,2005-05-11,1734,3333,04/30/11,1772,09/14/11,2051,3525,2009-10-11,1752,2005-03-12,1233,1875,2006-02-12,1912,9/12/2012,2113,4099,09/22/2012,1970,2005-01-13,2278,4215,2005-04-13,2288,09/18/13,2071,3890,09/21/13,1832,2005-08-14,2206,4363,05/17/2014 07:00:00 AM +0000,2315,2009-11-14,1949,4435,09/13/14,2388,05/19/15,2318,4589,05/16/15,2483
POINT (-73.89535781584343 40.862154600315165),3,Bronx,East Fordham Road,Valentine Avenue,Tiebout Avenue,Y,5/10/2007,1832,12311,5/5/2007,14391,9/25/2007,1829,9215,9/29/2007,15065,5/1/2008,1061,8013,5/17/2008,7927,09/23/08,2497,10010,2010-04-08,8013,2005-05-09,1689,8374,2005-02-09,7472,2009-10-09,2387,10655,09/26/09,6614,2005-06-10,2285,10943,2005-01-10,10424,2009-08-10,2807,12658,2009-11-10,7714,2005-10-11,2289,15890,04/30/11,9167,2009-08-11,2679,13548,2009-10-11,8140,2005-03-12,2125,7635,2006-09-12,7022,9/11/2012,2704,10486,09/15/2012,7421,2005-01-13,2710,12723,2005-04-13,8872,2010-01-13,2651,10613,2010-05-13,8241,2005-08-14,2699,12490,05/17/2014 07:00:00 AM +0000,6339,2009-04-14,2752,10408,2009-06-14,8266,05/13/15,2382,11216,05/16/15,7574
POINT (-73.87892467324485 40.881286995987296),4,Bronx,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,N,5/10/2007,764,2673,5/5/2007,1798,9/25/2007,1360,1975,9/29/2007,872,5/1/2008,2102,3206,5/17/2008,1989,09/23/08,3020,3915,2010-04-08,1662,2005-05-09,1536,2997,2005-02-09,1672,2009-10-09,2097,3135,09/26/09,1591,2005-06-10,2954,3962,2005-01-10,1717,2009-08-10,1622,3006,2009-11-10,1344,2005-10-11,1661,2844,04/30/11,1510,2009-08-11,1996,2836,2009-10-11,1587,2005-03-12,1906,2066,2006-09-12,1261,9/12/2012,2371,3500,09/15/2012,1620,2005-01-13,2052,3981,2005-04-13,1979,2010-09-13,2373,3660,2010-12-13,1914,2005-08-14,2096,3378,05/17/2014 07:00:00 AM +0000,1333,2009-04-14,2382,3425,2009-06-14,1339,05/13/15,1757,3561,05/16/15,1714
POINT (-73.88956389732796 40.84463677671767),5,Bronx,East Tremont Avenue,Prospect Avenue,Clinton Avenue,N,5/10/2007,650,2538,5/5/2007,2334,9/25/2007,1078,2739,9/29/2007,2343,4/29/2008,553,2438,5/10/2008,1652,09/23/08,756,3095,2010-04-08,1374,2005-05-09,684,2660,2005-02-09,2604,2009-10-09,912,3637,09/26/09,2339,2005-06-10,1075,5823,05/15/10,4085,2009-08-10,1012,5785,2009-11-10,3758,05/24/11,1093,6119,05/21/11,4274,09/14/11,1049,5859,2009-10-11,3934,05/31/12,627,1503,2006-09-12,2371,9/13/2012,959,3140,09/22/2012,2273,2005-01-13,1007,4175,2005-04-13,2854,2010-09-13,760,3488,2010-12-13,2805,05/21/14,971,3586,05/31/2014 07:00:00 AM +0000,2460,2009-04-14,1019,3184,2009-06-14,2366,05/21/15,1055,3710,2005-09-15,2554
POINT (-73.92087824799191 40.83015855511036),6,Bronx,Grand Concourse,East 164th Street,East 165th Street,Y,5/10/2007,489,1235,5/5/2007,835,9/25/2007,873,1457,9/29/2007,631,5/6/2008,634,1554,5/17/2008,856,09/23/08,771,1445,2010-04-08,744,2005-05-09,605,1271,2005-02-09,539,2009-10-09,599,1028,09/26/09,750,2005-06-10,597,1426,2005-01-10,669,2009-08-10,634,1341,09/18/10,738,2005-05-11,753,1394,04/30/11,891,09/14/11,802,1396,2009-10-11,859,2006-06-12,838,1372,2006-02-12,1069,9/12/2012,936,1743,09/22/2012,1059,2005-01-13,912,2059,2005-04-13,1037,09/18/13,963,1726,09/21/13,973,2005-08-14,858,2035,05/17/2014 07:00:00 AM +0000,1042,2009-11-14,972,1902,09/13/14,1097,05/19/15,839,2023,05/16/15,1059
POINT (-73.91635737290395 40.81688745834867),7,Bronx,Third Avenue,East 150th Street,East 151st Street,Y,5/10/2007,703,8776,5/5/2007,2865,9/25/2007,858,6503,9/29/2007,5501,4/29/2008,636,6123,5/10/2008,4461,09/23/08,1499,5803,2010-04-08,4251,2005-05-09,1696,7236,2005-02-09,3540,2009-10-09,1446,6730,09/26/09,7409,2005-06-10,1624,6877,2005-01-10,4565,09/14/10,1701,6922,09/18/10,4866,2005-05-11,1773,7138,04/30/11,5866,09/14/11,1937,7050,2009-10-11,4951,2005-03-12,1367,6961,2005-05-12,5551,9/12/2012,1604,7500,09/22/2012,5012,2005-01-13,2097,8853,2005-04-13,6599,09/18/13,1231,6701,09/21/13,4294,2005-08-14,2161,9048,05/17/2014 07:00:00 AM +0000,6717,2009-11-14,1648,9057,09/13/14,6785,05/19/15,2165,9285,05/16/15,6721
POINT (-73.86767352599504 40.855588719719535),8,Bronx,White Plains Road,Pelham Parkway South,Lydig Avenue,Y,5/10/2007,1025,4039,5/5/2007,3991,9/25/2007,1743,4667,9/29/2007,3309,5/1/2008,1638,4798,5/17/2008,4858,09/23/08,1056,3194,2010-04-08,2489,2005-05-09,990,3490,2005-02-09,3335,2009-10-09,1461,5090,09/26/09,2526,2005-06-10,1375,4834,2005-01-10,3095,2009-08-10,1568,4386,2009-11-10,2217,2005-10-11,1545,4402,04/30/11,2985,2009-08-11,1689,3016,2009-10-11,2360,05/31/12,1626,3415,2006-02-12,3828,9/11/2012,1591,5398,09/15/2012,3851,2005-01-13,1410,4232,2005-04-13,3007,2010-09-13,1479,4910,2010-12-13,4056,2005-08-14,1495,5166,05/17/2014 07:00:00 AM +0000,2540,2009-04-14,1769,4114,09/13/14,2893,05/13/15,1512,4333,05/16/15,3122
POINT (-74.01119296689045 40.6442668235874),9,Brooklyn,5th Avenue,51st Street,52nd Street,Y,5/9/2007,856,5940,5/5/2007,4354,9/25/2007,900,5435,9/29/2007,5081,4/29/2008,886,7054,5/17/2008,4806,2009-11-08,1062,5072,09/13/08,5901,2005-05-09,914,5730,2005-09-09,4619,2009-10-09,1364,5475,2010-03-09,4740,2005-05-10,982,5570,2005-01-10,5371,09/15/10,946,5585,2009-11-10,4577,2005-12-11,1350,7743,2005-07-11,6135,09/20/11,1445,8170,2009-10-11,4999,05/31/12,1306,3662,2006-09-12,4731,9/11/2012,1419,4864,10/20/2012,6325,2005-02-13,1457,6509,05/18/13,6070,09/18/13,1658,6627,09/21/13,5690,05/13/14,1522,7718,05/03/2014 07:00:00 AM +0000,6313,2009-09-14,1721,7988,09/13/14,6391,2005-12-15,1791,7802,2005-09-15,6762
POINT (-73.98067647018512 40.676093537146265),10,Brooklyn,5th Avenue,Union Street,President Street,Y,5/8/2007,504,2207,5/5/2007,2225,9/25/2007,422,2167,9/29/2007,1627,5/6/2008,672,2707,5/3/2008,966,2009-11-08,487,1898,2009-06-08,2321,2005-05-09,469,2547,2005-09-09,2259,2009-10-09,774,2310,2010-03-09,1690,2005-04-10,582,2274,2005-01-10,2808,09/14/10,661,3063,09/18/10,2141,2005-04-11,631,2915,04/30/11,2852,2009-08-11,591,2848,09/17/11,2307,2005-02-12,666,1414,2005-12-12,2620,9/11/2012,723,3255,09/15/2012,2468,2005-02-13,688,2764,05/18/13,2554,09/18/13,794,2513,09/21/13,2591,2005-06-14,800,3051,05/03/2014 07:00:00 AM +0000,3080,2009-09-14,955,2390,09/13/14,1962,2005-06-15,900,2492,2005-09-15,3081
