Log #,Complaint #,Date,Address #,Street Name,Borough,District,Work Reported,Closed,Issued Violation?
1601,00-07-02-001,10/3/99,141,Bond Street,Bn,BOE,,1,0
1602,00-07-02-002,10/3/99,201,Dean Street,Bn,BOE,3rd floor windows,1,0
1603,00-07-02-003,6/29/99,110-120,East 76th Street,Mn,UES,Interior Alts.,1,0
1604,00-07-02-004,7/1/99,,Lorimer Street,Bn,GP,Bell Atlantic Cable Box,1,0
1605,00-07-02-005,7/1/99,258,West 12th Street,Mn,GVE,Brownstone repair,1,0
1606,00-07-02-006,7/1/99,117,East 78th Street,Mn,UES,Clovers removed from entry,1,0
1607,00-07-02-007,7/2/99,170,Fifth Avenue,Mn,LM,Work,1,0
1608,00-07-02-008,7/2/99,123,Prince Street,Mn,SOHO,Rooftop addt. Visible from 141 Wooster Street,1,0
1609,00-07-06-009,7/6/99,116,East 91st Street,Mn,CARE,Interior Alts.,1,1
1610,00-07-06-010,7/6/99,1313,Madison Avenue,Mn,CARE,Ramp,1,0
1612,00-07-06-012,7/6/99,483,12th Street,Bn,PS,Painted yellow,1,0
1613,00-07-07-013,7/7/99,19,Greenwich Avenue,Mn,GV,Neon; 18 Aug 99: sign,1,1
1614,00-07-07-014,7/7/99,17,Greenwich Avenue,Mn,GV,Curbside telephone,1,1
1615,00-07-07-015,7/7/99,17,West 16th Street,Mn,LM,Partitions,1,0
1616,00-07-07-016,7/7/99,3,St. Luke's Place,Mn,GV,Rear addition,1,0
1617,00-07-12-017,7/12/99,507,Henry Street,Bn,NOT DESIGNATED,Work ongoing,1,0
1619,00-07-12-019,7/12/99,84-12,37th Avenue,Qn,JH,Sprint signs,1,1
1620,00-07-12-020,7/12/99,83-14,37th Avenue,Qn,JH,"Work expected; 23 Aug 99: sign, security gates; 19 Nov 99: brick work",1,0
1621,00-07-12-021,7/12/99,200,Clinton Street,Bn,BH,Repointing,1,0
1623,00-07-13-023,7/13/99,13,Cranberry Street,Bn,BH,Interior Alts.,1,0
1624,00-07-13-024,7/13/99,22,East 89th Street,Mn,CARE,Façade cleaning,1,0
1625,00-07-13-025,7/13/99,458,West 22nd Street,Mn,CHEL,Scaffolding??,1,1
1626,00-07-13-026,7/13/99,69,Mercer Street,Mn,SOHO,Wall being built on roof,1,1
1627,00-07-13-027,7/13/99,83,Chambers Street,Mn,TRIS,"SF, sign & lighting; 3 Aug 99: flagpole",1,1
1628,00-07-14-028,7/14/99,[90],Bank Street,Mn,GV,Painted blue,1,1
1629,00-07-14-029,7/14/99,242,Court Street,Bn,COB,"SF altered, open pane glass window",1,1
1630,00-07-15-030,7/15/99,30,Hudson Street,Mn,TRIW,Painted columns; Mar? 03: antennas,1,0
1631,00-07-15-031,7/15/99,138,West 18th Street,Mn,NOT DESIGNATED,Roof alterations,1,0
1632,00-07-15-032,7/15/99,103,Greenwich Avenue,Mn,GV,Neon signage (Day-O),1,1
1633,00-07-15-033,7/15/99,122,East 73rd Street,Mn,UES,Scaffolding,1,0
1634,00-07-15-034,7/15/99,155,Riverside Drive,Mn,RWE,Removing cornice,1,1
1635,00-07-16-035,4/28/97,[1000],Richmond Terrace,SI,IL,"Interior alterations, skylights, marble falling off at Cultural Building D",1,1
1637,00-07-16-037,7/16/99,62,Crosby Street,Mn,SOHO,Stairs removed,1,0
1640,00-07-19-040,7/19/99,23,East 81st Street,Mn,MET,A/C cut,1,1
1641,00-07-19-041,7/19/99,37-57,83rd Street,Qn,JH,"Parapet alts., brick replacement",1,1
1642,00-07-20-042,7/20/99,,6th Avenue,Mn,GV,Removing 2'x3' section of the facade,1,0
1643,00-07-20-043,7/20/99,123,East 72nd Street,Mn,UES,Painted mural,1,0
1644,00-07-20-044,7/20/99,1049,Fifth Avenue,Mn,CARE,Roof-top construction,1,1
1645,00-07-21-045,7/21/99,675,Madison Avenue,Mn,UES,Shopfront alterations,1,0
1646,00-07-21-046,7/21/99,129 - 131,Grand Street,Mn,SOHO,Roof railing,1,1
1647,00-07-21-047,7/21/99,251,West 76th Street,Mn,WEC,Façade alts.,1,0
1648,00-07-22-048,7/22/99,37,West 12th Street,Mn,GV,Window replacement,1,0
1649,00-07-23-049,7/23/99,459,West 21st Street,Mn,CHEL,Painting; 12 Aug  99: removing fence,1,0
1650,00-07-23-050,7/23/99,166,West 72nd Street,Mn,UWS,"7th floor window, East side; 15 Feb 01: façade work",1,1
1651,00-07-23-051,7/23/99,35,West 67th Street,Mn,UWS,façade alts.; 4 Oct 99: camera,1,1
1947,00-12-10-017,12/10/99,209,Dean Street,Bn,BOE,Windows,1,1
1652,00-07-23-052,7/23/99,225,West 86th Street,Mn,IL,leaded windows exposed; 19 Apr 02: guard hut; 9 May 02: curbside payphone; neon sign,1,1
1653,00-07-23-053,7/23/99,16,Erricson Place,Mn,TRIW,Painting,1,0
1654,00-07-23-054,7/23/99,200,West 57th Street,Mn,IL,Stucco work at 7th Avenue façade,1,0
1655,00-07-23-055,7/23/99,,West 83rd Street,Mn,UWS,Canopy,1,0
1658,00-07-23-058,7/23/99,10,Rockefeller Plaza,Mn,IL,Christie's-red fabric or vinyl at windows,1,0
1661,00-08-02-001,7/27/99,389,6th Avenue,Mn,GV,"Telephone, bluestone removed",1,0
1662,00-08-02-002,7/27/99,87,7th Avenue,Mn,NOT DESIGNATED,Telephone,1,0
1663,00-08-02-003,5/5/99,"35-56, 35-50, 35-42, 35-34, 35-26, 35-20, 35-14",77th Street,Qn,JH,Windows,1,1
1664,00-08-02-004,7/29/99,3,East 95th Street,Mn,CARE,Painting,1,0
1665,00-08-02-005,7/29/99,475,6th Avenue,Mn,GV,Deli sign,1,1
1666,00-08-02-006,7/29/99,481,6th Avenue,Mn,GV,Photo shop sign,1,0
1667,00-08-02-007,7/29/99,360,Pacific Street,Bn,BOE,Painting,1,0
1668,00-08-02-008,7/30/99,[121-123],East 17th Street,Mn,NOT DESIGNATED,Telephone,1,0
1669,00-08-02-009,8/2/99,267,Carlton Avenue,Bn,FG,Bsmt level windows,1,1
