Date_Received,Appl_Type,CBLinkID,kiosktype,Latitude,Longitude,Borough,ZoningNumb,CB,Building_Number,Street_Name,Cross_Street 1,Cross_Street 2,LinkInHist,Landmark_Name,PavementTy,LinkInBID,BID_Name,permit_app,company_na,LinkInSADName,LinkInSAD,Location 1
08/19/2016,new site,LINK-005408,advertising unit,40.575699,-74.119691000000003,SI,C2-1/R3-1,2,8,NEW DORP LANE,RICHMOND ROAD,2 STREET,NONE,,2 STREET,NO,,81420,CityBridge LLC,,,"(40.575699, -74.119691000000003)"
08/19/2016,new site,LINK-006874,advertising unit,40.720554,-73.842586999999995,Queens,C4-5X/FH,6,,QUEENS BOULEVARD,71 ROAD,72 AVENUE,NONE,,72 AVENUE,NO,,81450,CityBridge LLC,,,"(40.720554, -73.842586999999995)"
08/19/2016,new site,LINK-006876,advertising unit,40.718952999999999,-73.838976000000002,Queens,C1-2/R6,6,,QUEENS BOULEVARD,73 AVENUE,73 ROAD,NONE,,73 ROAD,NO,,81451,CityBridge LLC,,,"(40.718952999999999, -73.838976000000002)"
08/19/2016,new site,LINK-006878,advertising unit,40.718328999999997,-73.837971999999993,Queens,C1-2/R6,6,,QUEENS BOULEVARD,73 ROAD,75 AVENUE,NONE,,75 AVENUE,NO,,81452,CityBridge LLC,,,"(40.718328999999997, -73.837971999999993)"
08/19/2016,new site,LINK-006880,advertising unit,40.717891000000002,-73.836680000000001,Queens,C1-2/R6,6,,QUEENS BOULEVARD,75 ROAD,76 AVENUE,NONE,,76 AVENUE,NO,,81453,CityBridge LLC,,,"(40.717891000000002, -73.836680000000001)"
08/19/2016,new site,LINK-006882,advertising unit,40.71725,-73.835567999999995,Queens,C1-2/R6,6,,QUEENS BOULEVARD,76 AVENUE,76 ROAD,NONE,,76 ROAD,NO,,81454,CityBridge LLC,,,"(40.71725, -73.835567999999995)"
08/19/2016,new site,LINK-006885,advertising unit,40.714860999999999,-73.832341,Queens,C4-4D,6,,QUEENS BOULEVARD,78 AVENUE,78 CRESCENT,NONE,,78 CRESCENT,NO,,81455,CityBridge LLC,,,"(40.714860999999999, -73.832341)"
08/19/2016,new site,LINK-006987,advertising unit,40.711072000000001,-73.828159999999997,Queens,C4-4,9,,KEW GARDENS ROAD,82 ROAD,82 DRIVE,NONE,,82 DRIVE,NO,,81456,CityBridge LLC,,,"(40.711072000000001, -73.828159999999997)"
08/19/2016,new site,LINK-018037,advertising unit,40.733345999999997,-73.870835999999997,Queens,C1-2/R6,4,,QUEENS BOULEVARD,90 STREET,WOODHAVEN BOULEVARD,NONE,,WOODHAVEN BOULEVARD,NO,,81457,CityBridge LLC,,,"(40.733345999999997, -73.870835999999997)"
08/19/2016,new site,LINK-018039,advertising unit,40.726323000000001,-73.853012000000007,Queens,C1-2/R7-1,6,,QUEENS BOULEVARD,67 AVENUE,67 ROAD,NONE,,67 ROAD,NO,,81459,CityBridge LLC,,,"(40.726323000000001, -73.853012000000007)"
08/19/2016,new site,LINK-018040,advertising unit,40.726495,-73.853138000000001,Queens,C1-2,6,,QUEENS BOULEVARD,67 AVENUE ,67 ROAD,NONE,,67 ROAD,NO,,81460,CityBridge LLC,,,"(40.726495, -73.853138000000001)"
08/19/2016,new site,LINK-018041,advertising unit,40.726694999999999,-73.853928999999994,Queens,C1-2/R7-1,6,,QUEENS BOULEVARD,67 AVENUE,67 ROAD,NONE,,67 ROAD,NO,,81461,CityBridge LLC,,,"(40.726694999999999, -73.853928999999994)"
08/19/2016,new site,LINK-018043,advertising unit,40.727490000000003,-73.856075000000004,Queens,C1-2/R7-1,6,,QUEENS BOULEVARD,64 ROAD,65 AVENUE,NONE,,65 AVENUE,NO,,81462,CityBridge LLC,,,"(40.727490000000003, -73.856075000000004)"
08/19/2016,new site,LINK-018045,advertising unit,40.727849999999997,-73.856847999999999,Queens,C1-2/R7-1,6,,QUEENS BOULEVARD,65 ROAD,66 AVENUE,NONE,,66 AVENUE,NO,,81463,CityBridge LLC,,,"(40.727849999999997, -73.856847999999999)"
08/19/2016,new site,LINK-018046,advertising unit,40.728007866703798,-73.857492956086602,Queens,C1-2/R7-1,6,,QUEENS BOULEVARD,65 ROAD,66 AVENUE,NONE,,66 AVENUE,NO,,81464,CityBridge LLC,,,"(40.728007866703798, -73.857492956086602)"
08/19/2016,new site,LINK-018047,advertising unit,40.698281497605898,-73.992558465303503,Brooklyn,C1-5/R8,2,79,HENRY STREET,ORANGE STREET,PINEAPPLE STREET,NONE,,PINEAPPLE STREET,NO,,81465,CityBridge LLC,,,"(40.698281497605898, -73.992558465303503)"
08/19/2016,new site,LINK-018049,advertising unit,40.697180000000003,-73.991517999999999,Brooklyn,C1-5/R8,2,240,CADMAN PLAZA WEST,MIDDAGH STREET,PINEAPPLE WALK,NONE,,PINEAPPLE WALK,NO,,81467,CityBridge LLC,,,"(40.697180000000003, -73.991517999999999)"
08/19/2016,new site,LINK-018051,advertising unit,40.695028000000001,-73.990933999999996,Brooklyn,C6-4/DB,2,300,CADMAN PLAZA WEST,CLINTON STREET,JOHNSON STREET,NONE,,JOHNSON STREET,NO,,81469,CityBridge LLC,,,"(40.695028000000001, -73.990933999999996)"
08/19/2016,new site,LINK-018053,advertising unit,40.694026000000001,-73.990647999999993,Brooklyn,C6-4C5-2A,2,215,MONTAGUE STREET,CLINTON STREET,COURT STREET,NONE,,COURT STREET,YES,Montague StreetBID,81470,CityBridge LLC,,,"(40.694026000000001, -73.990647999999993)"
08/19/2016,new site,LINK-018071,advertising unit,40.682198,-73.961661000000007,Brooklyn,C2-4/R7A,2,464,GRAND AVENUE,FULTON STREET,LEFFERTS PLACE,NONE,,LEFFERTS PLACE,YES,Fulton Area Business (FAB) Alliance,81471,CityBridge LLC,,,"(40.682198, -73.961661000000007)"
08/19/2016,new site,LINK-018055,advertising unit,40.688994000000001,-73.983376000000007,Brooklyn,C6-4/DB,2,23,BOND STREET,FULTON STREET,LIVINGSTON STREET,NONE,,LIVINGSTON STREET,YES,Fulton Mall Improvement Association,81472,CityBridge LLC,,,"(40.688994000000001, -73.983376000000007)"
08/22/2016,new site,LINK-018093,advertising unit,40.674039,-73.956827000000004,Brooklyn,C2-4/R7A,8,782,FRANKLIN AVENUE,ST JOHNS PLACE,LINCOLN PLACE,NONE,,LINCOLN PLACE,NO,,81504,CityBridge LLC,,,"(40.674039, -73.956827000000004)"
08/19/2016,new site,LINK-018056,advertising unit,40.688873000000001,-73.982481000000007,Brooklyn,C6-4/DB,2,15,HANOVER PLACE,GROVE PLACE,LIVINGSTON STREET,NONE,,LIVINGSTON STREET,YES,Fulton Mall Improvement Association,81473,CityBridge LLC,,,"(40.688873000000001, -73.982481000000007)"
08/19/2016,new site,LINK-018057,advertising unit,40.688035999999997,-73.981874000000005,Brooklyn,C6-4/DB,2,322,LIVINGSTON STREET,HANOVER PLACE,NEVINS STREET,NONE,,NEVINS STREET,YES,Court-Livingston-SchermerhornBID,81474,CityBridge LLC,,,"(40.688035999999997, -73.981874000000005)"
08/19/2016,new site,LINK-018058,advertising unit,40.688963999999999,-73.980341999999993,Brooklyn,C6-4,2,498,HUDSON AVENUE,DEKALB AVENUE,FULTON STREET,NONE,,FULTON STREET,YES,MetroTechBID,81475,CityBridge LLC,,,"(40.688963999999999, -73.980341999999993)"
08/19/2016,new site,LINK-018062,advertising unit,40.684547000000002,-73.970225999999997,Brooklyn,C2-4 /R7A,2,710,FULTON STREET,SOUTH PORTLAND AVENUE,GREENE AVENUE,NONE,,GREENE AVENUE,YES,Fulton Area Business (FAB) Alliance,81476,CityBridge LLC,,,"(40.684547000000002, -73.970225999999997)"
08/19/2016,new site,LINK-018064,advertising unit,40.683748000000001,-73.967809000000003,Brooklyn,C2-3/R7-2,2,770,FULTON STREET,CARLTON AVENUE,ADELPHI STREET,NONE,,ADELPHI STREET,YES,Fulton Area Business (FAB) Alliance,81478,CityBridge LLC,,,"(40.683748000000001, -73.967809000000003)"
08/19/2016,new site,LINK-018066,advertising unit,40.683591,-73.967093000000006,Brooklyn,C1-3/R6,2,887,FULTON STREET,VANDERBILT AVENUE,CLINTON AVENUE,NONE,,CLINTON AVENUE,YES,Fulton Area Business (FAB) Alliance,81479,CityBridge LLC,,,"(40.683591, -73.967093000000006)"
08/19/2016,new site,LINK-018067,advertising unit,40.660908999999997,-73.961160000000007,Brooklyn,C2-4/R7A,2,907,FULTON STREET,VANDERBILT AVENUE,CLINTON AVENUE,NONE,,CLINTON AVENUE,NO,,81480,CityBridge LLC,,,"(40.660908999999997, -73.961160000000007)"
08/19/2016,new site,LINK-018074,advertising unit,40.662346999999997,-73.962006000000002,Brooklyn,C2-3/R7-1,9,51,LINCOLN ROAD,BRIGHTON LINE,FLATBUSH AVENUE,NONE,,FLATBUSH AVENUE,NO,,81485,CityBridge LLC,,,"(40.662346999999997, -73.962006000000002)"
08/19/2016,new site,LINK-018075,advertising unit,40.656466999999999,-73.959692000000004,Brooklyn,C5-4/DB,2,486,FLATBUSH AVENUE,GOLD STREET,BOND STREET,NONE,,BOND STREET,NO,,81486,CityBridge LLC,,,"(40.656466999999999, -73.959692000000004)"
