OBJECTID,CB_Link_ID,Boro,the_geom,Community,Latitude,Longitude,Constructi,Link_Insta,Smallest_P,Street_Add,Orientatio,Boro_ID,Construc_1,Link_Site
1,LINK-000067,Bronx,POINT (-73.89305857941987 40.86020671121296),205,40.860215,-73.89306,Not Ready for CX,A - Link Live,116218,2461 Webster Ave,108 E,NY-BX,04/28/2016 12:00:00 AM +0000,bx-05-116218
2,LINK-000072,Bronx,POINT (-73.89802157715471 40.86134071064604),205,40.861349,-73.898023,Not Ready for CX,A - Link Live,119575,2437 Grand Concourse,100 E,NY-BX,06/27/2016 12:00:00 AM +0000,bx-05-119575
3,LINK-000074,Bronx,POINT (-73.89857957649994 40.86164671098548),205,40.861655,-73.898581,Not Ready for CX,A - Link Live,119587,150 E 188St,9 N,NY-BX,04/28/2016 12:00:00 AM +0000,bx-05-119587
4,LINK-000076,Bronx,POINT (-73.89855157737625 40.85914471095069),205,40.859153,-73.898553,Not Ready for CX,A - Link Live,119628,2366-2370 Grand Concourse,338 N,NY-BX,04/28/2016 12:00:00 AM +0000,bx-05-119628
5,LINK-000092,Manhattan,POINT (-73.98336255615456 40.76581973222473),105,40.765828,-73.983364,CX Complete / Link Installed,A - Link Live,122622,944 8 Avenue,335 NW,NY-MN,07/19/2016 12:00:00 AM +0000,mn-05-122622
6,LINK-000111,Manhattan,POINT (-73.98198855543154 40.76616673199865),105,40.766175,-73.98199,Not Ready for CX,A - Link Live,122522,250 West 57St,42 NE,NY-MN,05/26/2016 12:00:00 AM +0000,mn-05-122522
7,LINK-000130,Manhattan,POINT (-73.9883975553255 40.746615735854895),105,40.746624,-73.988399,Not Ready for CX,A - Link Live,122180,1216 Broadway,227 SW,NY-MN,04/10/2016 12:00:00 AM +0000,mn-05-122180
8,LINK-000141,Manhattan,POINT (-73.98800455532746 40.749654735680735),105,40.749663,-73.988006,Not Ready for CX,A - Link Live,122369,1293 Broadway,99 E,NY-MN,04/28/2016 12:00:00 AM +0000,mn-05-122369
9,LINK-000155,Manhattan,POINT (-73.9869395545788 40.7544857348201),105,40.754494,-73.986941,Not Ready for CX,A - Link Live,122169,1431 Broadway,112 E,NY-MN,07/22/2016 12:00:00 AM +0000,mn-05-122169
10,LINK-000158,Manhattan,POINT (-73.9863615554171 40.75483773482042),105,40.754846,-73.986363,Not Ready for CX,A - Link Live,122171,1450 Broadway,4 N,NY-MN,07/22/2016 12:00:00 AM +0000,mn-05-122171
11,LINK-000162,Manhattan,POINT (-73.98453955447101 40.760404733603025),105,40.760413,-73.984541,Not Ready for CX,A - Link Live,133361,1600 Broadway,296 NW,NY-MN,05/14/2016 12:00:00 AM +0000,mn-05-133361
12,LINK-000163,Manhattan,POINT (-73.98486555468314 40.76026073397191),105,40.760269,-73.984867,Not Ready for CX,A - Link Live,134185,1605 Broadway,147 SE,NY-MN,05/14/2016 12:00:00 AM +0000,mn-05-134185
13,LINK-000164,Manhattan,POINT (-73.98441855554798 40.76063773277379),105,40.760646,-73.98442,Not Ready for CX,A - Link Live,122088,1606 Broadway,316 NW,NY-MN,04/30/2016 12:00:00 AM +0000,mn-05-122088
14,LINK-000165,Manhattan,POINT (-73.98423255601392 40.760613733333024),105,40.760622,-73.984234,Not Ready for CX,A - Link Live,133511,1606 Broadway,5 N,NY-MN,04/30/2016 12:00:00 AM +0000,mn-05-133511
15,LINK-000166,Manhattan,POINT (-73.98464055452644 40.76071173273394),105,40.76072,-73.984642,Not Ready for CX,A - Link Live,134155,1611 Broadway,101 E,NY-MN,05/26/2016 12:00:00 AM +0000,mn-05-134155
16,LINK-000168,Manhattan,POINT (-73.9842765560436 40.760874732588576),105,40.760883,-73.984278,Not Ready for CX,A - Link Live,133508,1626 Broadway,341 N,NY-MN,05/26/2016 12:00:00 AM +0000,mn-05-133508
17,LINK-000177,Manhattan,POINT (-73.98263655653724 40.7639727327555),105,40.763981,-73.982638,Not Ready for CX,A - Link Live,122541,1701 Broadway,99 E,NY-MN,04/30/2016 12:00:00 AM +0000,mn-05-122541
18,LINK-000178,Manhattan,POINT (-73.98230855611402 40.76411873292033),105,40.764127,-73.98231,Not Ready for CX,A - Link Live,122529,1710 Broadway,306 NW,NY-MN,04/15/2016 12:00:00 AM +0000,mn-05-122529
19,LINK-000180,Manhattan,POINT (-73.98238355591701 40.764667733133926),105,40.764676,-73.982385,Not Ready for CX,A - Link Live,122532,1725 Broadway,107 E,NY-MN,05/14/2016 12:00:00 AM +0000,mn-05-122532
20,LINK-000185,Manhattan,POINT (-73.98777955444014 40.75007873598759),105,40.750087,-73.987781,Not Ready for CX,A - Link Live,122775,Herald Square,277 W,NY-MN,04/28/2016 12:00:00 AM +0000,mn-05-122775
