OBJECTID,Boro,Type,Provider,Name,Location,Lat,Long_,X,Y,Location_T,Remarks,City,SSID,SourceID,"Location (Lat, Long)"
892,MN,Free,AT&T,Central Park,South side near Sheep Meadow/ Mineral Spring,40.7729,-73.974,991451.418,220866.177084,Outdoor,,New York,attwifi,,"(40.77290000000, -73.97400000000)"
893,MN,Free,AT&T,Central Park,South side near Rumsey Playfield,40.771,-73.9709,992310.278815,220174.213573,Outdoor,,New York,attwifi,,"(40.77100000000, -73.97090000000)"
894,MN,Free,AT&T,Central Park,South side near Tavern on the Green,40.7721,-73.9771,990592.863615,220574.470646,Outdoor,,New York,attwifi,,"(40.77210000000, -73.97710000000)"
895,MN,Free,AT&T,Central Park,South side near Central Park Zoo,40.768,-73.9712,992227.542432,219081.186559,Outdoor,,New York,attwifi,,"(40.76800000000, -73.97120000000)"
1146,MN,Free,NYPL,Webster,1465 YORK AVENUE,40.7706525435,-73.951341694,997727.716143,220050.028126,Library,,New York,NYPL,,"(40.77065254350, -73.95134169400)"
2549,MN,Free,BETA LinkNYC - Citybridge,mn-05-122622,944 8 Avenue,40.765828,-73.983364,988858.289062,218288.981137,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000092,"(40.76582800000, -73.98336400000)"
2550,MN,Free,BETA LinkNYC - Citybridge,mn-05-122522,250 West 57St,40.766175,-73.98199,989238.870733,218415.479976,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000111,"(40.76617500000, -73.98199000000)"
1151,QU,Free,QPL,Astoria,14-01 ASTORIA BOULEVARD,40.7723828899,-73.9287188126,1003993.44508,220684.740767,Library,,Long Island City,QBPL_WIRELESS,,"(40.77238288990, -73.92871881260)"
1163,MN,Free,NYPL,Columbus,742 10 AVENUE,40.7649346184,-73.9912208178,986681.927867,217963.176984,Library,,New York,NYPL,,"(40.76493461840, -73.99122081780)"
2634,MN,Free,BETA LinkNYC - Citybridge,mn-05-122628,1775 Broadway,40.767271,-73.982247,989167.59937,218814.774518,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000458,"(40.76727100000, -73.98224700000)"
2561,MN,Free,BETA LinkNYC - Citybridge,mn-05-122541,1701 Broadway,40.763981,-73.982638,989059.529543,217616.097115,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000177,"(40.76398100000, -73.98263800000)"
2562,MN,Free,BETA LinkNYC - Citybridge,mn-05-122529,1710 Broadway,40.764127,-73.98231,989150.379628,217669.307905,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000178,"(40.76412700000, -73.98231000000)"
